account,ownedStake
joshsticks28,"7,10161917"
patriamcaritatis,"7,08684428"
beatzchain,"7,04447802"
laritheghost,"7,01855503"
acolytesofhelio,"7,00472814"
valchiz,"6,99323362"
visionaer3003,"6,99106221"
razackpulo.pob,"6,93911812"
beeber,"6,91790828"
siberian12,"6,91318101"
steemseph,"6,87247551"
cinetv,"6,84583994"
juggalizzle,"6,81356829"
ziabutt3836,"6,80145285"
eddwood,"6,73363014"
reidasshitcoin,"6,70689456"
yameen-ag,"6,70673423"
trentonlundy1,"6,69587514"
zpek,"6,66652605"
lovesports,"6,5717087"
stekene,"6,57086264"
comedyopenmic,"6,56088299"
almightymelon,"6,55944255"
georgeknowsall,"6,54890192"
mypathtofire,"6,52938632"
bobby.madagascar,"6,52306162"
frankbacon,"6,49875697"
sirstriker,"6,44573656"
cryptictruth,"6,44163538"
dirkzett,"6,3776308"
stevieboyes,"6,31601077"
mr-gabriel,"6,30186703"
pieternijmeijer,"6,27849724"
quelled,"6,23275409"
justinparke,"6,20078363"
kachinhenry,"6,19459401"
mryoung1979,"6,19297208"
gurseerat,"6,15233724"
sanjeevm,"6,14293618"
chmoen,"6,130835"
hivebuzz,"6,11275319"
tisfortony,"6,08932509"
jburke.mp4,"6,08098427"
tokutaro22,"6,06508071"
realitavshaluan,"6,05542394"
jackglory,"5,94970909"
melbourneswest,"5,93933427"
prinzvalium,"5,83917606"
ssjdynasty,"5,78013652"
bdmillergallery,"5,75643158"
ttatsu0815,"5,73367569"
rupinder,"5,72999574"
floki-skarsgaard,"5,67447483"
steemvpn,"5,61230705"
blesker,"5,59501057"
lobaobh,"5,58936527"
jarvie,"5,58163455"
chrono.witness,"5,54946524"
oople,"5,50805811"
masterkimi09,"5,488"
hive-199275,"5,47284696"
harry-jacob,"5,45182866"
japex1226,"5,43743256"
ijat,"5,43445854"
entraide.rewards,"5,40347856"
rob23hive,"5,40207601"
skylinebuds,"5,39362123"
timhorton,"5,37634663"
engage1up,"5,34981099"
sportsbuddy,"5,33072236"
tykee,"5,32073907"
ifarmgirl,"5,31937834"
thisismylife,"5,2133483"
sandymeyer,"5,19067871"
adedayoolumide,"5,18298525"
baran30,"5,1777505"
jungleboy1,"5,1321358"
nadoeda,"5,12080755"
imfarhad,"5,10996117"
chisdealhd,"5,08094419"
theiamultitude,"5,07642304"
archmage.app,"5,05014105"
ifere,"5,04706161"
urockradio,"5,0"
shadflyfilms,"4,9848923"
charcoalbuffet,"4,97573544"
noempathy,"4,95451463"
uwelang,"4,95424771"
tsnaks,"4,94382868"
megalithic,"4,92439004"
yamada46,"4,8956149"
abreusplinter,"4,85195778"
penderis,"4,84820111"
steem82868,"4,84350201"
ekotmordemy,"4,81965011"
darkquakeq,"4,78272955"
h-t-t,"4,77360842"
rajatrandom,"4,77299857"
vvgm,"4,74096441"
friendmoose.pob,"4,72842294"
friendmoose.leo,"4,72358264"
luvshares,"4,72116117"
supriya.gupta1,"4,71576053"
option2-e,"4,71364471"
shariarahammad,"4,71357048"
karizma,"4,69968318"
abyssalsoul,"4,67322762"
heaven131415,"4,65030984"
dynamichivers,"4,63994456"
efastromberg94,"4,60717013"
basilmarples,"4,60389811"
bpcvoter,"4,58175929"
magicquokka,"4,56286043"
jlufer,"4,55827704"
zzz.accounting,"4,5544098"
colm.hive,"4,53307988"
bravetofu,"4,49237253"
flauwy-1up,"4,48524331"
protosphere,"4,47928714"
meins0815,"4,46435077"
mrhive001,"4,44063235"
greensempire,"4,41232369"
rqr4,"4,4106109"
cryptocompany,"4,40541134"
mrenglish,"4,39495608"
altthair,"4,38139293"
augusto2021,"4,36480867"
iyiade,"4,34748605"
mateo-samuel,"4,34519171"
opidia,"4,3172929"
shitsignals,"4,31282487"
migka,"4,26598258"
bloodynecronight,"4,23882175"
supriya.gupta,"4,23650541"
dynamicsteemians,"4,23270782"
cool08,"4,22152791"
taskmaster4450le,"4,2180303"
chaotica,"4,16205037"
alexvan,"4,14842547"
enginewitty,"4,14768814"
andres-ralph,"4,12922504"
ange.nkuru,"4,1272914"
revise.spt,"4,12351856"
mikeithappen,"4,12140364"
miraicastel,"4,11703987"
vierpfoten,"4,11219"
zapfic.club,"4,09480412"
chunkysoupsvc,"4,07887993"
elikast,"4,07413207"
invest-time,"4,05605815"
brutalmonkey,"4,03606714"
pat.foto,"4,0280152"
jerson1231,"4,00473705"
sqube,"4,000895"
beatricebex,"4,0"
cashperdaghost,"4,0"
redbeardos,"4,0"
akawoh,"4,0"
leemah1,"3,98914426"
crespino,"3,97005553"
wochenblick,"3,93431667"
poshtoken,"3,92968678"
quixoticflux,"3,92414144"
gasak,"3,91966467"
young-boss-karin,"3,91587931"
michiel87,"3,90379799"
lauch3d,"3,86598184"
manahunter,"3,86447482"
axrho,"3,85437801"
pappyelblanco,"3,77836142"
notoriouspun,"3,7757334"
smokrthou,"3,77401063"
jesswestphotos,"3,75406234"
irivers,"3,72792227"
cryptoniusraptor,"3,72004813"
mathfb,"3,71766737"
s4b4t0n,"3,71605074"
meme.bot,"3,68871282"
borgheseglass,"3,68640921"
youarealive,"3,6545901"
vaino-rami,"3,651234"
jmis101,"3,64186213"
teooo,"3,63349067"
deraaa,"3,63061553"
thegrandestine,"3,60005837"
ydaiznfts,"3,58326389"
lindhagen,"3,57721337"
rsntpl,"3,57555379"
witnessthesizzle,"3,56734875"
blockchainboyroy,"3,55215866"
