account,ownedStake
beeswap,"17,51144265"
aliveprojects,"17,50929302"
anacristinasilva,"17,48213585"
diddydidit99,"17,46778656"
andy-vibes,"17,42384233"
darth-azrael,"17,41910792"
pdameron,"17,37428428"
rzc24-nftbbg,"17,34195989"
hiq,"17,27225229"
josediccus,"17,25852652"
blervinlight,"17,25645502"
egistar,"17,17236317"
attentionneeded,"17,1148455"
blokz,"17,1023091"
feesttent,"17,0"
ehizgabriel,"16,92831469"
magic.bee,"16,92155659"
lebah,"16,79443475"
imfarhad,"16,70509868"
tokens-fr,"16,66021401"
riandeuk,"16,6533826"
skatehype.com,"16,59851187"
vibrokinetic,"16,52874218"
brianhuang,"16,51059665"
numpypython,"16,4120027"
vintherinvest,"16,3952024"
ozelot,"16,38954972"
reazul-dev,"16,38126546"
udabeu,"16,33995719"
narnary,"16,15685736"
robonft,"16,03879998"
pinkfloyd878,"16,03520493"
investyourvote,"15,94311532"
ozelot47,"15,78500943"
hiq.magazine,"15,75043294"
oliverschmid,"15,68094122"
chaosmagic23,"15,63061492"
dangerbald,"15,56739454"
rajatrandom,"15,46934818"
entrepreneur.one,"15,45011389"
flapjvcks,"15,4"
jerson1231,"15,27487614"
faquan,"15,25871343"
bryan-imhoff,"15,15015569"
thecuriousfool,"15,108428"
paulmoon410,"15,04907493"
lightyears,"15,0"
mogerbear,"15,0"
ehon,"14,99533967"
forsakensushi,"14,93467846"
kaseldz,"14,91400598"
lobaobh,"14,87459684"
sportsbuddy,"14,86125581"
masoom,"14,8422466"
chrislybear,"14,79525608"
themcgwire,"14,77572209"
tobywalter,"14,77185667"
aagabriel,"14,72347461"
diamonddreamer,"14,65366352"
felixxx,"14,64058524"
nkemakonam89,"14,59689748"
shariarahammad,"14,57926929"
jovak,"14,56981649"
eirik,"14,51080937"
sayee,"14,50974953"
jaopalas,"14,47978433"
castleberry,"14,412486"
b33drohn3,"14,21253701"
rcaine,"14,20058017"
moriarty95,"14,12053106"
halulam,"14,08803758"
rawnass,"14,01720071"
sandraa1,"13,91867637"
rezoanulvibes,"13,87624314"
rabona,"13,85808221"
norseland,"13,8518715"
truth2,"13,82150503"
kenechukwu97,"13,72087587"
masterthematrix,"13,68987995"
geneticmedia,"13,6890361"
asperger-kids,"13,61308952"
steemychicken1,"13,59300844"
topworlds,"13,58331695"
freeedom,"13,55483528"
exilles,"13,55"
spk.beneficiary,"13,43735314"
mathfb,"13,40850765"
yangyanje,"13,40480091"
linn901,"13,18540859"
how-to-hive,"13,17743073"
kvinna,"13,07401007"
michupa,"13,03838195"
bluetalon,"13,0"
blurrz,"13,0"
catotune,"12,98840592"
vicegrip,"12,96261233"
stvy,"12,95406601"
dippingfears,"12,93304176"
gurseerat,"12,91754189"
chronocrypto,"12,89781455"
wlffreitas,"12,85929624"
cryptopsycho21,"12,7955434"
jazzy07,"12,79552247"
slothbuzz,"12,78"
ifere,"12,76582866"
natalia-irish,"12,76264803"
octavian1,"12,75965323"
null,"12,65758153"
mariuszkarowski,"12,64207302"
nicolcron,"12,64101436"
brando28,"12,60671026"
oldmans,"12,55979955"
arrovf,"12,52884507"
aimee.tariq,"12,47681835"
suagm,"12,44466537"
nane,"12,43165299"
kenny-crane,"12,36719671"
quotidien,"12,25615527"
bloggingaddict,"12,20600595"
las3rbone,"12,1561673"
handtalk5,"12,15505586"
tribemieregal,"12,07809978"
melbourneswest,"12,04651928"
